svk_source	term_id	term	meeting	date	time	type	mp_id	moderator	fullname	firstname	lastname	title	party	party_short	dob	gender	nationality	residence	district	email	personal_web	mp_web	difterm	transcript_link	speech	lem	agenda
SK_term_4.tsv-line289	289	4	1	20060704			337	0	Pásztor, István	István	Pásztor	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19570316	0	maďarská	Kráľovský Chlmec	Košický	istvan_pasztor@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=337&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line290	290	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Klára Sárközy.	klár sárkyz.	-
SK_term_4.tsv-line291	291	4	1	20060704			116	0	Sárközy, Klára	Klára	Sárközy	MUDr.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19530312	1	maďarská	Veľký Meder	Trnavský	klara_sarkozy@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=116&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line292	292	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	János Szigeti.	jános sziget.	-
SK_term_4.tsv-line293	293	4	1	20060704			338	0	Szigeti, János	János	Szigeti	NA	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19521228	0	maďarská	Búč	Nitriansky	janos_szigeti@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=338&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line294	294	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Anna Szögedi.	anna szyged.	-
SK_term_4.tsv-line295	295	4	1	20060704			700	0	Szögedi, Anna	Anna	Szögedi	NA	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19500407	1	maďarská	Tornaľa	Banskobystrický	anna_szogedi@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=700&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line296	296	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Mária Sabolová.	mária sabolová.	-
SK_term_4.tsv-line297	297	4	1	20060704			115	0	Sabolová, Mária	Mária	Sabolová	Ing.	Kresťanskodemokratické hnutie	KDH	19560920	1	slovenská	Košice	Košický	maria_sabolova@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=115&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line298	298	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Jozef Šimko.	jozef šimko.	-
SK_term_4.tsv-line299	299	4	1	20060704			291	0	Šimko, Jozef	Jozef	Šimko	Ing.	Kresťanskodemokratické hnutie	KDH	19561009	0	slovenská	Stropkov	Prešovský	jozef_simko@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=291&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line300	300	4	1	20060704			23	0	Bugár, Béla	Béla	Bugár	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19580707	0	maďarská	Šamorín	Trnavský	bela_bugar@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=4	0	docx	Vážené panie poslankyne, páni poslanci, chcem sa vás opýtať, či všetci prítomní poslanci zložili ústavou predpísaný sľub. Áno. Konštatujem, že všetci prítomní poslanci Národnej rady Slovenskej republiky zložili ústavou predpísaný sľub. Vážená Národná rada, pán prezident Slovenskej republiky odchádza z ustanovujúcej schôdze. Vyhlasujem päťminútovú prestávku, potom budeme pokračovať v rokovaní. (Odchod prezidenta Slovenskej republiky z rokovacej sály. Potlesk.) (Päťminútová prestávka.) (Po prestávke.)	vážený panie poslankyňa, páni poslanec, chcieť sa vy opýtať, či všetok prítomný poslanec zložiť ústava predpísaný sľub. áno. konštatovať, že všetok prítomný poslanec národný rada slovenský republika zložiť ústava predpísaný sľub. vážený národný rád, pán prezident slovenský republika odchádzať z ustanovujúci schôdza. vyhlasovať päťminútový prestávka, potom byť pokračovať v rokovanie.  (odchod prezident slovenský republika z rokovaci sála. potlesk.)  (päťminútový prestávka.)  (po prestávka.)	-
SK_term_4.tsv-line301	302	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ústavou predpísaný sľub poslanca znie: „Sľubujem na svoju česť a svedomie vernosť Slovenskej republike. Svoje povinnosti budem plniť v záujme jej občanov. Budem dodržiavať ústavu a ostatné zákony a pracovať tak, aby sa uvádzali do života.“ Ján Golian.	ústava predpísaný sľub poslanec znieť: „ sľubovať na svoj česť a svedomie vernosť slovenský republika. svoj povinnosť byť plniť v záujem jej občan. byť dodržiavať ústav a ostatný zákon a pracovať tak, aby sa uvádzať do život.“ ján golian.	-
SK_term_4.tsv-line302	303	4	1	20060704			708	0	Golian, Ján	Ján	Golian	PhDr., CSc.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19500506	0	slovenská	Stará Huta	Banskobystrický	jan_golian@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=708&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line303	304	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ján Rusnák.	ján rusnák.	-
SK_term_4.tsv-line304	305	4	1	20060704			112	0	Rusnák, Ján	Ján	Rusnák	Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19560117	0	slovenská	Michalovce	Košický	jan_rusnak@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=112&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line305	306	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Petra Masácová.	peter masácová.	-
SK_term_4.tsv-line306	307	4	1	20060704			328	0	Masácová, Petra	Petra	Masácová	Mgr.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19731204	1	slovenská	Bratislava	Bratislavský	petra_masacova@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=328&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line307	308	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Peter Košút.	peter košút.	-
SK_term_4.tsv-line308	309	4	1	20060704			713	0	Košút, Peter	Peter	Košút	NA	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19730507	0	slovenská	Štiavnik	Žilinský	peter_kosut@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=713&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line309	310	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	František Halás.	františek Halás.	-
SK_term_4.tsv-line310	311	4	1	20060704			709	0	Halás, František	František	Halás	Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19680222	0	slovenská	Nitra	Nitriansky	frantisek_halas@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=709&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line311	312	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ľubomír Karaba.	ľubomír karab.	-
SK_term_4.tsv-line312	313	4	1	20060704			711	0	Karaba, Ľubomír	Ľubomír	Karaba	Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19630812	0	slovenská	Nové Mesto nad Váhom	Trenčiansky	lubomir_karaba@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=711&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line313	314	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Tomáš Korček.	tomáš korček.	-
SK_term_4.tsv-line314	315	4	1	20060704			712	0	Korček, Tomáš	Tomáš	Korček	JUDr.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19760115	0	slovenská	Bratislava	Bratislavský	tomas_korcek@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=712&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line315	316	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Rudolf Sokol.	rudolf sokol.	-
SK_term_4.tsv-line316	317	4	1	20060704			717	0	Sokol, Rudolf	Rudolf	Sokol	PhDr.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19500810	0	slovenská	Slivník	Košický	rudolf_sokol@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=717&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line317	318	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	György Juhász.	gyyrga juhász.	-
SK_term_4.tsv-line318	319	4	1	20060704			637	0	Juhász, György	György	Juhász	PaedDr., PhD.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19691010	0	maďarská	Tvrdošovce	Nitriansky	gyorgy_juhasz@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=637&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line319	320	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Erzsébet Pogány.	erzsébet pogán.	-
SK_term_4.tsv-line320	321	4	1	20060704			715	0	Pogány, Erzébet	Erzébet	Pogány	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19591219	1	maďarská	Šamorín	Trnavský	erszebet_pogany@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=715&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line321	322	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Elemér Jakab.	elemér jakab.	-
SK_term_4.tsv-line322	323	4	1	20060704			710	0	Jakab, Elemér	Elemér	Jakab	Mgr.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19670705	0	maďarská	Veľké Raškovce	Košický	elemer_jakab@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=710&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line323	324	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	István Kovács.	istván kovács.	-
SK_term_4.tsv-line324	325	4	1	20060704			714	0	Kovács, István	István	Kovács	PhDr.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19530704	0	maďarská	Rimavská Sobota	Banskobystrický	istvan_kovacs@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=714&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line325	326	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	László Pomothy.	lászló pomotha.	-
SK_term_4.tsv-line326	327	4	1	20060704			716	0	Pomothy, László	László	Pomothy	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19570111	0	maďarská	Galanta	Trnavský	laszlo_pomothy@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=716&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line327	329	4	1	20060704			688	0	Rafaj, Rafael	Rafael	Rafaj	Mgr.	Slovenská národná strana	SNS	19591019	0	slovenská	Bratislava	Bratislavský	rafael_rafaj@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=688&CisObdobia=4	0	docx	Ďakujem pekne. Vážený pán predsedajúci, vážení členovia vlády, dovolím si vás požiadať o zmenu návrhu v mene poslaneckého klubu Slovenskej národnej strany. Namiesto pána poslanca Miroslava Kotiana prosím navrhnúť pána poslanca Emila Vestenického. Ďakujem.	ďakovať pekne. vážený pán predsedajúci, vážený člen vláda, dovoliť si vy požiadať o zmena návrh v meno poslanecký klub slovenský národný strana. namiesto pán poslanec miroslav kotian prosiť navrhnúť pán poslanec emila vestenický. ďakovať.	-
SK_term_4.tsv-line328	331	4	1	20060704			23	0	Bugár, Béla	Béla	Bugár	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19580707	0	maďarská	Šamorín	Trnavský	bela_bugar@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=4	0	docx	Vážené panie poslankyne, páni poslanci, pýtam sa, či každý poslanec využil svoje právo hlasovať. (Súhlasná reakcia pléna.) Áno, ďakujem pekne. Vyhlasujem tajné hlasovanie za skončené. Zároveň vyhlasujem prestávku do 13.00 hodiny. Počas tejto prestávky sa môžete najesť. Predpokladám, že poslanci, ktorí sú na tabuli, sa nehlásia o slovo. (Reakcia pléna.) Nie, ďakujem pekne. Takže prestávka do 13.00 hodiny. (Prerušenie rokovania o 12.15 hodine.) (Pokračovanie rokovania o 13.00 hodine.)	vážený panie poslankyňa, páni poslanec, pýtať sa, či každý poslanec využiť svoj právo hlasovať.  (súhlasný reakcia plénus. ) áno, ďakovať pekne. vyhlasovať tajný hlasovanie za skončený. zároveň vyhlasovať prestávka do 13. 00 hodina. počas táto prestávka sa môcť najesť. predpokladať, že poslanec, ktorý byť na tabuľa, sa hlásiť o slovo.  (reakcia plénus. nie, ďakovať pekne. takže prestávka do 13. 00 hodina.  (prerušenie rokovanie o 12. 15 hodina.)  (pokračovanie rokovanie o 13. 00 hodina.)	-
SK_term_4.tsv-line329	332	4	1	20060704			23	0	Bugár, Béla	Béla	Bugár	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19580707	0	maďarská	Šamorín	Trnavský	bela_bugar@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=4	0	docx	Vážené panie poslankyne, páni poslanci, žiadam vás, aby ste sa vrátili do rokovacieho priestoru, budeme pokračovať v rokovaní. Prosím teraz povereného overovateľa pána poslanca Kahanca, aby oznámil Národnej rade počet vydaných hlasovacích lístkov, takisto počet poslancov, ktorí hlasovali za navrhnutého kandidáta, ktorí hlasovali proti alebo sa zdržali hlasovania, a takisto aj počet poslancov, ktorí neodovzdali hlasovacie lístky, a, samozrejme, aj počet neplatných hlasovacích lístkov. Pán poslanec Kahanec, nech sa páči, máte slovo.	vážený panie poslankyňa, páni poslanec, žiadať vy, aby byť sa vrátiť do rokovací priestor, byť pokračovať v rokovanie. prosiť teraz poverený overovateľ pán poslanec kahanec, aby oznámiť národný rad počet vydaný hlasovací lístok, takisto počet poslanec, ktorý hlasovať za navrhnutý kandidát, ktorý hlasovať proti alebo sa zdržať hlasovanie, a takisto aj počet poslanec, ktorý odovzdať hlasovací lístok, a, samozrejme, aj počet neplatný hlasovací lístok. pán poslanec kahanec, nech sa páčiť, mať slovo.	-
SK_term_4.tsv-line330	333	4	1	20060704			635	1	Kahanec, Stanislav	Stanislav	Kahanec	Ing.	Kresťanskodemokratické hnutie	KDH	19541212	0	slovenská	Prešov	Prešovský	stanislav_kahanec@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=635&CisObdobia=4	0	docx	Ďakujem pekne za slovo. Vážený pán predsedajúci... (Ruch v sále.)	ďakovať pekne za slovo. vážený pán predsedajúci. ..  (ruch v sála. )	-
SK_term_4.tsv-line331	334	4	1	20060704			23	0	Bugár, Béla	Béla	Bugár	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19580707	0	maďarská	Šamorín	Trnavský	bela_bugar@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=4	0	docx	Páni poslanci, nebavte sa v rokovacej sále!	pán poslanec, baviť sa v rokovaci sála!	-
